split,label_text,new_file_path,binary_label,shape
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_1785.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_1991.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_1799.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_2669.jpg,1,512x1000
val,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/val/AMD/amd_val_1208.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_3011.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_2488.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_1417.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_2814.jpg,1,512x1000
val,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/val/AMD/amd_val_1092.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_1588.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_2420.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_1587.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_1748.jpg,1,512x1000
test,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/test/AMD/amd_test_1174.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_1367.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_1699.jpg,1,512x1000
train,AMD,/media/miglab/DATA_20TB1/OCT/archive/RetinalOCT_Dataset/RetinalOCT_Dataset/train/AMD/amd_train_1206.jpg,1,512x1000
